Pathways	Compounds_of_pathway	Enzymes_of_pathway	Genes_of_pathway	Ontology_parents_of_class	Reactions_of_pathway	Reactants_of_pathway	Products_of_pathway
PWY-6990	PROTON // NADH // CPD-862 // NAD // PPI // CPD-1903 // WATER // +-bornyl-diphosphate // GERANYL-PP	MONOMER-17127 // MONOMER-17128 // CPLX-8430	G-10498	Camphor-Biosynthesis	GERANYL-DIPHOSPHATE-CYCLASE-RXN // RXN-13046 // +-BORNEOL-DEHYDROGENASE-RXN	GERANYL-PP // WATER // NAD	PPI // CPD-862 // NADH // PROTON
PWY-2467	ADENOSYL-HOMO-CYS // CPD-3944 // S-ADENOSYLMETHIONINE // Ox-NADPH-Hemoprotein-Reductases // Red-NADPH-Hemoprotein-Reductases // CPD-4462 // CPD-3631 // CPD-14741 // CPD-3942 // CPD-17616 // NADP // WATER // CPD-20039 // CPD-20040 // OXYGEN-MOLECULE // NADPH // PROTON	MONOMER-6105 // MONOMER-6103	G-4622	ISOFLAVONOID-PHYTOALEXINS // ISOFLAVONOID-SYN	RXN-18746 // RXN-18745 // RXN-16377 // RXN-16376 // RXN-2054 // RXN-4561 // RXN-4002	OXYGEN-MOLECULE // NADPH // CPD-14741 // CPD-3631 // Red-NADPH-Hemoprotein-Reductases // S-ADENOSYLMETHIONINE	NADP // Ox-NADPH-Hemoprotein-Reductases // CPD-3944 // ADENOSYL-HOMO-CYS
PWY-7487	CPD-8910 // PROTON // UDP // CPD-16684 // CPD-16683 // CPD-12575	MONOMER-18626	G-18091	LIGNAN-SYN	RXN-15443 // RXN-15442	CPD-12575 // CPD-8910	CPD-16684 // UDP // PROTON
PWY-7749	CARBON-DIOXIDE // SUC // CPD-17595 // 2-KETOGLUTARATE // METOH // CPD-8958 // Ox-NADPH-Hemoprotein-Reductases // WATER // CPD-18757 // CPD-18756 // OXYGEN-MOLECULE // Red-NADPH-Hemoprotein-Reductases	MONOMER-19671 // MONOMER-19672 // MONOMER-19673	G-44373 // G-44374 // G-44375	LIGNAN-SYN	RXN-17350 // RXN-17349 // RXN-16344	OXYGEN-MOLECULE // Red-NADPH-Hemoprotein-Reductases // CPD-17595 // 2-KETOGLUTARATE	CPD-18757 // WATER // Ox-NADPH-Hemoprotein-Reductases // METOH // SUC // CARBON-DIOXIDE
PWY-6991	PROTON // NADH // --CAMPHOR // NAD // PPI // CPD-1908 // WATER // --bornyl-diphosphate // GERANYL-PP	MONOMER-17129 // MONOMER-17131 // MONOMER-17130		Camphor-Biosynthesis	RXN-13002 // RXN-13047 // --BORNEOL-DEHYDROGENASE-RXN	GERANYL-PP // WATER // NAD	PPI // --CAMPHOR // NADH // PROTON
PWY-2761	DAIDZEIN // 2-HYDROXYDAIDZEIN // PROTON // NADPH // 2-HYDROXY-23-DIHYDRODAIDZEIN // NADP // Ox-NADPH-Hemoprotein-Reductases // 6AS11AS-36A9-TRIHYDROXYPTEROCARPAN // Red-NADPH-Hemoprotein-Reductases // OXYGEN-MOLECULE // WATER // CPD-4402 // CPD-14740	MONOMER-7402 // MONOMER-6702 // MONOMER-6703 // GLYMA.12G237901-MONOMER // GLYMA.12G238200-MONOMER // GLYMA.12G238100-MONOMER // GLYMA.09G269500-MONOMER // GLYMA.09G269600-MONOMER // MONOMERN7V-49672 // GLYMA.13G203800-MONOMER // GLYMA.13G203900-MONOMER // GLYMA.18G220600-MONOMER // GLYMA.18G220500-MONOMER // MONOMER-7261 // GLYMA.19G144600-MONOMER // GLYMA.19G144700-MONOMER // GLYMA.19G146800-MONOMER // MONOMERN7V-47734 // GLYMA.03G142100-MONOMER // GLYMA.03G142000-MONOMER // GLYMA.10G092500-MONOMER // GLYMA.10G092600-MONOMER // GLYMA.12G239100-MONOMER // GLYMA.02G176200-MONOMER // MONOMER-7281 // MONOMER-6705	G-5662 // GLYMA.12G237901 // GLYMA.12G238200 // GLYMA.12G238100 // GLYMA.09G269500 // GLYMA.09G269600 // GLYMA.09G269400 // GLYMA.13G203800 // GLYMA.13G203900 // GLYMA.18G220600 // GLYMA.18G220500 // GLYMA.19G144600 // GLYMA.19G144700 // GLYMA.19G146800 // GLYMA.03G143700 // GLYMA.03G142100 // GLYMA.03G142000 // GLYMA.10G092500 // GLYMA.10G092600 // GLYMA.12G239100 // GLYMA.02G176200 // G-5681	ISOFLAVONOID-PHYTOALEXINS // ISOFLAVONOID-SYN	RXN-13699 // RXN-4505 // RXN-4504 // RXN-4502 // RXN-4501	Red-NADPH-Hemoprotein-Reductases // OXYGEN-MOLECULE // NADPH // PROTON // DAIDZEIN	WATER // 6AS11AS-36A9-TRIHYDROXYPTEROCARPAN // Ox-NADPH-Hemoprotein-Reductases // NADP
PWY-2464	CPD-3628 // CPD-3629 // PROTON // NADPH // CPD-3630 // NADP // Ox-NADPH-Hemoprotein-Reductases // CPD-9539 // FORMONONETIN // OXYGEN-MOLECULE // Red-NADPH-Hemoprotein-Reductases // WATER // CPD-3631 // CPD-14741	MONOMER-5881 // MONOMER-5882 // MONOMER-5883 // MONOMER-6024 // MONOMER-5884 // MONOMER-5361	G-4761 // G-5705	ISOFLAVONOID-PHYTOALEXINS // ISOFLAVONOID-SYN	RXN-13700 // RXN-3762 // RXN-3768 // RXN-3766 // RXN-3765 // RXN-3763	FORMONONETIN // OXYGEN-MOLECULE // Red-NADPH-Hemoprotein-Reductases // NADPH // PROTON	CPD-3631 // WATER // Ox-NADPH-Hemoprotein-Reductases // NADP
PWY-2463	Ox-NADPH-Hemoprotein-Reductases // FORMONONETIN // Red-NADPH-Hemoprotein-Reductases // OXYGEN-MOLECULE // 2-HYDROXYFORMONONETIN // PROTON // NADPH // VESTITONE // NADP // WATER // CPD-3402 // CPD-3441	MONOMER-7402 // MONOMER-5882 // MONOMER-5043 // MONOMER-5681 // MONOMER-5044 // MONOMER-5841 // MONOMER-5781	G-5662 // G-4761 // G-5706 // G-5707	ISOFLAVONOID-PHYTOALEXINS // ISOFLAVONOID-SYN	RXN-3602 // RXN-3601 // RXN-3562 // ISOFLAVONE-2-HYDROXYLASE-RXN	NADPH // PROTON // FORMONONETIN // Red-NADPH-Hemoprotein-Reductases // OXYGEN-MOLECULE	CPD-3402 // WATER // NADP // Ox-NADPH-Hemoprotein-Reductases
PWY-6717	1-4-beta-Xylan // BETA-D-XYLOSE // 1-4-D-xylooligosaccharides // WATER	AT2G14690-MONOMER // AT4G08160-MONOMER // AT4G38650-MONOMER // AT4G33830-MONOMER // AT4G33860-MONOMER // AT4G33840-MONOMER // AT4G33820-MONOMER // AT4G38300-MONOMER // MONOMERQT-8129 // AT4G22495-MONOMER // AT4G22475-MONOMER // AT3G28980-MONOMER // MONOMERQT-9661 // AT1G58370-MONOMER // AT5G10560-MONOMER // AT3G62710-MONOMER // AT5G47000-MONOMER // AT5G49360-MONOMER // AT1G54130-MONOMER // AT3G45940-MONOMER // AT3G19620-MONOMER // AT1G78060-MONOMER // AT1G02640-MONOMER // AT3G14050-MONOMER // AT5G64570-MONOMER // AT3G10740-MONOMER // AT1G68560-MONOMER	AT2G14690 // AT4G08160 // AT4G38650 // AT4G33830 // AT4G33860 // AT4G33840 // AT4G33820 // AT4G38300 // AT4G33810 // AT4G22495 // AT4G22475 // AT3G28980 // AT1G10050 // AT1G58370 // AT5G10560 // AT3G62710 // AT5G47000 // AT5G49360 // AT1G54130 // AT3G45940 // AT3G19620 // AT1G78060 // AT1G02640 // AT3G14050 // AT5G64570 // AT3G10740 // AT1G68560	Xylan-Degradation // Glycan-Degradation	3.2.1.37-RXN // 3.2.1.8-RXN	WATER // 1-4-beta-Xylan	BETA-D-XYLOSE
PWY-5434	NADP // PROTON // NADPH // CPD-8843 // PPI // FARNESYL-PP // WATER // Ox-NADPH-Hemoprotein-Reductases // CPD-8847 // CPD-8844 // CPD-12568 // Red-NADPH-Hemoprotein-Reductases // OXYGEN-MOLECULE	MONOMER-12827 // MONOMERDQC-43228 // ZM00001D015054-MONOMER // ZM00001D053918-MONOMER // ZM00001D015053-MONOMER // MONOMER-12826 // AT3G25180-MONOMER	G-9834 // ZM00001D053916 // ZM00001D015054 // ZM00001D053918 // ZM00001D015053 // AT3G25180	DMNT-Biosynthesis	RXN-11911 // RXN-8616 // RXN-11575 // RXN-8619	Red-NADPH-Hemoprotein-Reductases // OXYGEN-MOLECULE // FARNESYL-PP // PROTON // NADPH	CPD-8844 // CPD-8847 // Ox-NADPH-Hemoprotein-Reductases // PPI // NADP
