TERM	NAME	LINK
PWY-7185	UTP and CTP dephosphorylation I	HTTP://localhost:1555/ARA/NEW-IMAGE?type=PATHWAY&object=PWY-7185
PWY-6933	seleno-amino acid detoxification and volatilization III	HTTP://localhost:1555/ARA/NEW-IMAGE?type=PATHWAY&object=PWY-6933
PWY-1186	L-homomethionine biosynthesis	HTTP://localhost:1555/ARA/NEW-IMAGE?type=PATHWAY&object=PWY-1186
PWY-8001	felinine and 3-methyl-3-sulfanylbutan-1-ol biosynthesis	HTTP://localhost:1555/ARA/NEW-IMAGE?type=PATHWAY&object=PWY-8001
PWY-116	coniferin metabolism	HTTP://localhost:1555/ARA/NEW-IMAGE?type=PATHWAY&object=PWY-116
PWY-5466	matairesinol biosynthesis	HTTP://localhost:1555/ARA/NEW-IMAGE?type=PATHWAY&object=PWY-5466
PWY-7618	ricinoleate biosynthesis	HTTP://localhost:1555/ARA/NEW-IMAGE?type=PATHWAY&object=PWY-7618
PWY-5340	sulfate activation for sulfonation	HTTP://localhost:1555/ARA/NEW-IMAGE?type=PATHWAY&object=PWY-5340
ASPASN-ARA-PWY	superpathway of aspartate and asparagine biosynthesis	HTTP://localhost:1555/ARA/NEW-IMAGE?type=PATHWAY&object=ASPASN-ARA-PWY
PWYQT-4475	glucosinolate biosynthesis from hexahomomethionine	HTTP://localhost:1555/ARA/NEW-IMAGE?type=PATHWAY&object=PWYQT-4475
PWY-6291	valencene and 7-epi-alpha-selinene biosynthesis	HTTP://localhost:1555/ARA/NEW-IMAGE?type=PATHWAY&object=PWY-6291
PWY-1782	superpathway of indole-3-acetate conjugate biosynthesis	HTTP://localhost:1555/ARA/NEW-IMAGE?type=PATHWAY&object=PWY-1782
PWY-6502	oxidized GTP and dGTP detoxification	HTTP://localhost:1555/ARA/NEW-IMAGE?type=PATHWAY&object=PWY-6502
PWY-6546	brassinosteroids inactivation	HTTP://localhost:1555/ARA/NEW-IMAGE?type=PATHWAY&object=PWY-6546
BSUBPOLYAMSYN-PWY	spermidine biosynthesis I	HTTP://localhost:1555/ARA/NEW-IMAGE?type=PATHWAY&object=BSUBPOLYAMSYN-PWY
PWY-6982	umbelliferone biosynthesis	HTTP://localhost:1555/ARA/NEW-IMAGE?type=PATHWAY&object=PWY-6982
PWY-6527	stachyose degradation	HTTP://localhost:1555/ARA/NEW-IMAGE?type=PATHWAY&object=PWY-6527
KDOSYN-PWY	Kdo transfer to lipid IVA I	HTTP://localhost:1555/ARA/NEW-IMAGE?type=PATHWAY&object=KDOSYN-PWY
PWY-5176	coumarin biosynthesis (via 2-coumarate)	HTTP://localhost:1555/ARA/NEW-IMAGE?type=PATHWAY&object=PWY-5176
PWY-5113	UDP-D-apiose biosynthesis (from UDP-D-glucuronate)	HTTP://localhost:1555/ARA/NEW-IMAGE?type=PATHWAY&object=PWY-5113
PWY-601	glucosinolate biosynthesis from tryptophan	HTTP://localhost:1555/ARA/NEW-IMAGE?type=PATHWAY&object=PWY-601
PWY-7039	"phosphatidate metabolism, as a signaling molecule"	HTTP://localhost:1555/ARA/NEW-IMAGE?type=PATHWAY&object=PWY-7039
PWY-7224	purine deoxyribonucleosides salvage	HTTP://localhost:1555/ARA/NEW-IMAGE?type=PATHWAY&object=PWY-7224
ALACAT2-PWY	L-alanine degradation II (to D-lactate)	HTTP://localhost:1555/ARA/NEW-IMAGE?type=PATHWAY&object=ALACAT2-PWY
PWY-5267	glucosinolate activation	HTTP://localhost:1555/ARA/NEW-IMAGE?type=PATHWAY&object=PWY-5267
PWY-6754	S-methyl-5'-thioadenosine degradation I	HTTP://localhost:1555/ARA/NEW-IMAGE?type=PATHWAY&object=PWY-6754
PHOTOALL-PWY	oxygenic photosynthesis	HTTP://localhost:1555/ARA/NEW-IMAGE?type=PATHWAY&object=PHOTOALL-PWY
FASYN-ELONG-PWY	fatty acid elongation -- saturated	HTTP://localhost:1555/ARA/NEW-IMAGE?type=PATHWAY&object=FASYN-ELONG-PWY
GLYOXYLATE-BYPASS	glyoxylate cycle	HTTP://localhost:1555/ARA/NEW-IMAGE?type=PATHWAY&object=GLYOXYLATE-BYPASS
PWY3O-450	phosphatidylcholine biosynthesis I	HTTP://localhost:1555/ARA/NEW-IMAGE?type=PATHWAY&object=PWY3O-450
PWY-6544	superpathway of C28 brassinosteroid biosynthesis	HTTP://localhost:1555/ARA/NEW-IMAGE?type=PATHWAY&object=PWY-6544
