TERM	NAME
PWY-6990	pinosylvin metabolism
PWY-2467	GDP-L-fucose biosynthesis I (from GDP-D-mannose)
PWY-7487	docosahexaenoate biosynthesis I (lower eukaryotes)
PWY-7749	tetrahydroxyxanthone biosynthesis (from 3-hydroxybenzoate)
PWY-6991	superpathway of anaerobic sucrose degradation
PWY-2761	superpathay of heme b biosynthesis from glutamate
PWY-2464	Fe(III)-phytosiderophore transport
PWY-2463	tuberonate glucoside biosynthesis
PWY-6717	leucodelphinidin biosynthesis
PWY-5434	TCA cycle variation V (plant)
PWY-6007	free phenylpropanoid acid biosynthesis
PWY-7709	L-nicotianamine biosynthesis
PWY-7141	santalene biosynthesis I
PWY-5928	betaxanthin biosynthesis
PWY-7443	ternatin C5 biosynthesis
PWY-5361	2'-deoxymugineic acid phytosiderophore biosynthesis
PWY-7590	crotonyl-CoA/ethylmalonyl-CoA/hydroxybutyryl-CoA cycle (engineered)
PWY-6668	CA1P biosynthesis
PWY-7522	scopoletin biosynthesis
PWY-3581	abscisic acid biosynthesis shunt
PWY-6900	phaselate biosynthesis
PWY-6539	homocysteine and cysteine interconversion
PWY-5765	ureide biosynthesis
PWY-6773	juniperonate biosynthesis
PWY-5791	sorgoleone biosynthesis
PWY-6361	S-adenosyl-L-methionine cycle II
PWY-4661	monoacylsucrose biosynthesis (Solanum)
PWY-6554	superpathway of pyrimidine deoxyribonucleotides de novo biosynthesis (E. coli)
PWY-5912	curcumene biosynthesis
PWY-6035	brassinosteroid biosynthesis I
PWY-6029	flavonol biosynthesis
PWY-6051	ginsenoside degradation III
PWY-5837	"(3E)-4,8-dimethylnona-1,3,7-triene biosynthesis I"
PWY-6585	&beta-alanine biosynthesis II
PWY-7460	photorespiration
PWY-5084	L-ascorbate biosynthesis II (L-gulose pathway)
PWY-5046	L-tyrosine biosynthesis II
PWY-6424	glucosinolate biosynthesis from phenylalanine
PWY-7065	hydroxycinnamate sugar acid ester biosynthesis
