TERM	NAME
PWY-5474	hydroxycinnamic acid tyramine amides biosynthesis
PWY-7060	ornithine-citrulline shuttle
ASPSYNII-PWY	cyanide detoxification I
PWY-5194	siroheme biosynthesis
PWY-6809	neoxanthin biosynthesis
PWY-5060	luteolin biosynthesis
PWY-2881	cytokinins 7-N-glucoside biosynthesis
PWY-5113	UDP-D-apiose biosynthesis (from UDP-D-glucuronate)
PWY-6910	hydroxymethylpyrimidine salvage
PWY1F-353	glycine betaine biosynthesis III (plants)
HISTSYN-PWY	L-histidine biosynthesis
PWY-6442	spermidine hydroxycinnamic acid conjugates biosynthesis
PWY-1782	superpathway of indole-3-acetate conjugate biosynthesis
PWY-6430	thymine degradation
SAM-PWY	S-adenosyl-L-methionine biosynthesis
ARG-PRO-PWY	L-arginine degradation VI (arginase 2 pathway)
PWY-1042	glycolysis IV (plant cytosol)
PWY-7252	luteolinidin 5-O-glucoside biosynthesis
PWY-7477	momilactone A biosynthesis
PROUT-PWY	L-proline degradation
GLYCLEAV-PWY	glycine cleavage
PWY-4021	beta-alanine betaine biosynthesis
PWY0-1507	biotin biosynthesis from 8-amino-7-oxononanoate I
POLYAMINSYN3-PWY	superpathway of polyamine biosynthesis II
PWY-7464	"cyanidin 3,7-diglucoside polyacylation biosynthesis"
PWY-5464	"superpathway of cytosolic glycolysis (plants), pyruvate dehydrogenase and TCA cycle"
PWY-5337	stachyose biosynthesis
PWY-6803	phosphatidylcholine acyl editing
PWY-5188	tetrapyrrole biosynthesis I (from glutamate)
PWY1F-467	"phenylpropanoid biosynthesis, initial reactions"
GLUCOSE1PMETAB-PWY	glucose and glucose-1-phosphate degradation
PWY0A-6303	methyl indole-3-acetate interconversion
PWY-6607	guanosine nucleotides degradation I
PWY-5687	pyrimidine ribonucleotides interconversion
PWY-7208	superpathway of pyrimidine nucleobases salvage
PWY-5659	GDP-mannose biosynthesis
PWY-7196	superpathway of pyrimidine ribonucleosides salvage
PWY-7176	UTP and CTP de novo biosynthesis
PWY66-423	"fructose 2,6-bisphosphate biosynthesis"
PWY-6745	phytochelatins biosynthesis
PWY-4341	L-glutamate biosynthesis V
PWY-6963	ammonia assimilation cycle I
HEME-BIOSYNTHESIS-II	heme b biosynthesis I (aerobic)
PWY-6754	S-methyl-5'-thioadenosine degradation I
PWY-7909	formaldehyde oxidation VII (THF pathway)
