Pathways	Compounds_of_pathway	Enzymes_of_pathway	Genes_of_pathway	Reactions_of_pathway	Reactants_of_pathway	Products_of_pathway	Ontology_parents_of_class
PWY-6717	1-4-beta-Xylan // BETA-D-XYLOSE // 1-4-D-xylooligosaccharides // WATER	AT1G58370-MONOMER // AT2G14690-MONOMER // AT4G08160-MONOMER // AT4G38650-MONOMER // AT4G33830-MONOMER // AT4G33860-MONOMER // AT4G33840-MONOMER // AT4G33820-MONOMER // AT4G38300-MONOMER // MONOMERQT-8129 // AT4G22495-MONOMER // AT4G22475-MONOMER // AT3G28980-MONOMER // MONOMERQT-9661 // AT5G10560-MONOMER // AT3G62710-MONOMER // AT5G47000-MONOMER // AT1G68560-MONOMER // AT3G10740-MONOMER // AT5G64570-MONOMER // AT3G14050-MONOMER // AT5G49360-MONOMER // AT1G54130-MONOMER // AT3G45940-MONOMER // AT3G19620-MONOMER // AT1G78060-MONOMER // AT1G02640-MONOMER	AT1G58370 // AT2G14690 // AT4G08160 // AT4G38650 // AT4G33830 // AT4G33860 // AT4G33840 // AT4G33820 // AT4G38300 // AT4G33810 // AT4G22495 // AT4G22475 // AT3G28980 // AT1G10050 // AT5G10560 // AT3G62710 // AT5G47000 // AT1G68560 // AT3G10740 // AT5G64570 // AT3G14050 // AT5G49360 // AT1G54130 // AT3G45940 // AT3G19620 // AT1G78060 // AT1G02640	3.2.1.37-RXN // 3.2.1.8-RXN	WATER // 1-4-beta-Xylan	BETA-D-XYLOSE	Xylan-Degradation // Glycan-Degradation
PWY-5434	NADP // PROTON // NADPH // CPD-8843 // PPI // FARNESYL-PP // WATER // Ox-NADPH-Hemoprotein-Reductases // CPD-8847 // CPD-8844 // CPD-12568 // Red-NADPH-Hemoprotein-Reductases // OXYGEN-MOLECULE	AT3G25180-MONOMER	AT3G25180	RXN-11911 // RXN-8616 // RXN-11575 // RXN-8619	Red-NADPH-Hemoprotein-Reductases // OXYGEN-MOLECULE // FARNESYL-PP // PROTON // NADPH	CPD-8844 // CPD-8847 // Ox-NADPH-Hemoprotein-Reductases // PPI // NADP	DMNT-Biosynthesis
PWY-6007	EPOXYSQUALENE // CPD-8844 // WATER // Ox-NADPH-Hemoprotein-Reductases // CPD-21324 // CPD-10307 // OXYGEN-MOLECULE // Red-NADPH-Hemoprotein-Reductases	AT4G15340-MONOMER	AT4G15340	RXN-19692 // RXN-9684	OXYGEN-MOLECULE // Red-NADPH-Hemoprotein-Reductases // EPOXYSQUALENE	CPD-21324 // Ox-NADPH-Hemoprotein-Reductases // CPD-8844	DMNT-Biosynthesis
PWY-7590	Palmitoyl-lipid // CPD-17294 // Oxidized-ferredoxins // WATER // CPD-17292 // CPD-17293 // OXYGEN-MOLECULE // Reduced-ferredoxins // PROTON	CPLX-1908 // AT3G15870-MONOMER // CPLX-1906 // CPLX-1905 // CPLX-1903	AT3G15850 // AT3G15870 // AT5G05580 // AT3G11170 // AT2G29980 // AT4G14890	RXN-16049 // RXN-16047 // RXN-16048	OXYGEN-MOLECULE // Reduced-ferredoxins // PROTON // Palmitoyl-lipid	CPD-17292 // WATER // Oxidized-ferredoxins	PUFA-Biosynthesis
PWY-6668	PPI // GERANYLGERANYL-PP // WATER // Ox-NADPH-Hemoprotein-Reductases // CPD-8847 // CPD-8846 // CPD-8848 // Red-NADPH-Hemoprotein-Reductases // OXYGEN-MOLECULE	AT1G61120-MONOMER // AT3G25180-MONOMER	AT1G61120 // AT3G25180	RXN-8620 // RXN-10441	Red-NADPH-Hemoprotein-Reductases // OXYGEN-MOLECULE // GERANYLGERANYL-PP	CPD-8846 // CPD-8847 // Ox-NADPH-Hemoprotein-Reductases // PPI	Terpenoid-Biosynthesis
PWY-5765	CPD-16 // CPD-9494 // ADENOSYL-HOMO-CYS // CPD-9500 // PROTON // S-ADENOSYLMETHIONINE // CPD-9499	AT1G62900-MONOMER // AT1G77520-MONOMER // MONOMERQT-9402 // AT1G77530-MONOMER // AT5G37170-MONOMER // AT5G39980-MONOMER // AT5G28420-MONOMER // MONOMERQT-7996 // MONOMERQT-8088 // AT4G36680-MONOMER // AT4G21190-MONOMER // AT4G01990-MONOMER // AT3G61360-MONOMER // MONOMERQT-8427 // AT3G48250-MONOMER // AT3G42630-MONOMER // AT3G25210-MONOMER // AT3G14580-MONOMER // AT3G02490-MONOMER // AT2G37230-MONOMER // MONOMERQT-9158 // MONOMERQT-9257 // AT1G69290-MONOMER // AT1G65486-MONOMER // MONOMERQT-9561 // AT1G10270-MONOMER // AT1G02370-MONOMER	AT1G62900 // AT1G77520 // AT1G63140 // AT1G77530 // AT5G37170 // AT5G39980 // AT5G28420 // AT5G10690 // AT4G38150 // AT4G36680 // AT4G21190 // AT4G01990 // AT3G61360 // AT3G60050 // AT3G48250 // AT3G42630 // AT3G25210 // AT3G14580 // AT3G02490 // AT2G37230 // AT2G17033 // AT1G80270 // AT1G69290 // AT1G65486 // AT1G30290 // AT1G10270 // AT1G02370	RXN-9022 // RXN-9021 // RXN-9020	S-ADENOSYLMETHIONINE // CPD-16	PROTON // CPD-9500 // ADENOSYL-HOMO-CYS	AROMATIC-COMPOUNDS-BIOSYN // SECONDARY-METABOLITE-BIOSYNTHESIS
PWY-6773	UDP // 1-3-beta-D-Glucans // CPD-12575	AT1G05570-MONOMER // AT1G06490-MONOMER // AT4G04970-MONOMER // AT2G31960-MONOMER // AT3G59100-MONOMER // AT3G14570-MONOMER // AT2G13680-MONOMER // AT2G36850-MONOMER // AT5G13000-MONOMER // AT4G03550-MONOMER // AT5G36870-MONOMER // AT3G14780-MONOMER // MONOMERQT-8792 // MONOMERQT-9038	AT1G05570 // AT1G06490 // AT4G04970 // AT2G31960 // AT3G59100 // AT3G14570 // AT2G13680 // AT2G36850 // AT5G13000 // AT4G03550 // AT5G36870 // AT3G14780 // AT3G07160 // AT2G30680	13-BETA-GLUCAN-SYNTHASE-RXN	CPD-12575	UDP	Polysaccharides-Biosynthesis
PWY-5791	CHORISMATE // CARBON-DIOXIDE // ISOCHORISMATE // 2-KETOGLUTARATE // Pi // ADP // ATP // O-SUCCINYLBENZOATE // PYRUVATE // CPD-9923 // CPD-9924 // CPD-6972 // CO-A // DIHYDROXYNAPHTHOATE // PROTON // CPD-9925 // WATER	AT1G18870-MONOMER // AT1G74710-MONOMER // AT1G30520-MONOMER // AT1G60550-MONOMER // AT1G68890-MONOMER // AT5G48950-MONOMER // AT1G48320-MONOMER	AT1G18870 // AT1G74710 // AT1G30520 // AT1G60550 // AT1G68890 // AT5G48950 // AT1G48320	RXN-9311 // NAPHTHOATE-SYN-RXN // RXN-9310 // RXN-7614 // O-SUCCINYLBENZOATE-COA-SYN-RXN // 2.5.1.64-RXN // ISOCHORSYN-RXN	ATP // 2-KETOGLUTARATE // CHORISMATE	DIHYDROXYNAPHTHOATE // PYRUVATE // ADP // Pi // CARBON-DIOXIDE	DHNA-Biosynthesis
PWY-4661	MI-HEXAKISPHOSPHATE // CPD-6681 // CPD-1107 // CPD-178 // D-glucopyranose-6-phosphate // D-MYO-INOSITOL-34-BISPHOSPHATE // ADP // 1-L-MYO-INOSITOL-1-P // PROTON // MYO-INOSITOL // ATP	AT5G42810-MONOMER // MONOMERQT-9417 // AT1G22100-MONOMER // AT1G58643-MONOMER // AT1G58936-MONOMER // AT1G59312-MONOMER // AT2G43980-MONOMER // AT4G08170-MONOMER // AT4G33770-MONOMER // AT5G16760-MONOMER // AT4G39800-MONOMER // AT2G22240-MONOMER // AT5G10170-MONOMER // AT5G58730-MONOMER	AT5G42810 // AT1G59171 // AT1G22100 // AT1G58643 // AT1G58936 // AT1G59312 // AT2G43980 // AT4G08170 // AT4G33770 // AT5G16760 // AT4G39800 // AT2G22240 // AT5G10170 // AT5G58730	MYO-INOSITOL-1-KINASE-RXN // RXN-7202 // MYO-INOSITOL-1-PHOSPHATE-SYNTHASE-RXN // 2.7.1.134-RXN // RXN-7203 // RXN-7204 // RXN-7163	MYO-INOSITOL // ATP // D-glucopyranose-6-phosphate	PROTON // ADP // MI-HEXAKISPHOSPHATE	Phytate-Biosynthesis
PWY-6554	MI-HEXAKISPHOSPHATE // CPD-506 // INOSITOL-1-3-4-TRIPHOSPHATE // ADP // CPD-1107 // PROTON // CPD-505 // ATP	AT5G42810-MONOMER // MONOMERQT-9417 // AT1G22100-MONOMER // AT1G58643-MONOMER // AT1G58936-MONOMER // AT1G59312-MONOMER // AT5G16760-MONOMER // AT4G08170-MONOMER // AT4G33770-MONOMER // AT2G43980-MONOMER // AT5G07370-MONOMER // AT5G61760-MONOMER	AT5G42810 // AT1G59171 // AT1G22100 // AT1G58643 // AT1G58936 // AT1G59312 // AT5G16760 // AT4G08170 // AT4G33770 // AT2G43980 // AT5G07370 // AT5G61760	2.7.1.140-RXN // 2.7.1.133-RXN // 2.7.1.139-RXN // RXN-7184 // RXN-7163	ATP // INOSITOL-1-3-4-TRIPHOSPHATE	PROTON // ADP // MI-HEXAKISPHOSPHATE	Phytate-Biosynthesis
