Pathways	Compounds of pathway	Enzymes of pathway	Genes of pathway	Ontology - parents of class	Reactants of pathway	Reactions of pathway
PWY-6717	1-4-beta-Xylan // BETA-D-XYLOSE // 1-4-D-xylooligosaccharides // WATER	MONOMERDQC-43322 // ZM00001D041290-MONOMER // ZM00001D028103-MONOMER // ZM00001D004941-MONOMER // ZM00001D039958-MONOMER // MONOMERDQC-47927 // ZM00001D030468-MONOMER // MONOMERDQC-49676 // ZM00001D039946-MONOMER // ZM00001D042347-MONOMER // MONOMERDQC-52870 // ZM00001D002166-MONOMER // MONOMERDQC-57262 // ZM00001D013561-MONOMER // ZM00001D016558-MONOMER // ZM00001D046772-MONOMER // ZM00001D004626-MONOMER // MONOMERDQC-48278 // ZM00001D052792-MONOMER // ZM00001D039994-MONOMER // MONOMERDQC-54114 // ZM00001D022122-MONOMER // ZM00001D052793-MONOMER // ZM00001D052381-MONOMER // MONOMERDQC-59218	ZM00001D048152 // ZM00001D041290 // ZM00001D028103 // ZM00001D004941 // ZM00001D039958 // ZM00001D019586 // ZM00001D030468 // ZM00001D048151 // ZM00001D039946 // ZM00001D042347 // ZM00001D028398 // ZM00001D002166 // ZM00001D025082 // ZM00001D013561 // ZM00001D016558 // ZM00001D046772 // ZM00001D004626 // ZM00001D009060 // ZM00001D052792 // ZM00001D039994 // ZM00001D002853 // ZM00001D022122 // ZM00001D052793 // ZM00001D052381 // ZM00001D048669	Glycan-Degradation // Xylan-Degradation	WATER // 1-4-beta-Xylan	3.2.1.37-RXN // 3.2.1.8-RXN
PWY-5434	NADP // PROTON // NADPH // CPD-8843 // PPI // FARNESYL-PP // WATER // Ox-NADPH-Hemoprotein-Reductases // CPD-8847 // CPD-8844 // CPD-12568 // Red-NADPH-Hemoprotein-Reductases // OXYGEN-MOLECULE	MONOMER-12827 // MONOMER-12826 // MONOMERDQC-43228 // ZM00001D015054-MONOMER // ZM00001D053918-MONOMER // ZM00001D015053-MONOMER	G-9834 // ZM00001D053916 // ZM00001D015054 // ZM00001D053918 // ZM00001D015053	DMNT-Biosynthesis	Red-NADPH-Hemoprotein-Reductases // OXYGEN-MOLECULE // FARNESYL-PP // PROTON // NADPH	RXN-11911 // RXN-8616 // RXN-11575 // RXN-8619
PWY-7141	CPD-4211 // DELTA3-ISOPENTENYL-PP // PPI // CPD-8997 // GERANYL-PP // WATER	ZM00001D021929-MONOMER // ZM00001D006678-MONOMER // MONOMERDQC-43228 // ZM00001D015054-MONOMER // ZM00001D053918-MONOMER // ZM00001D015053-MONOMER	ZM00001D021929 // ZM00001D006678 // ZM00001D053916 // ZM00001D015054 // ZM00001D053918 // ZM00001D015053	Linalool-Biosynthesis	WATER // CPD-4211 // DELTA3-ISOPENTENYL-PP	4.2.3.25-RXN // GPPSYN-RXN
PWY-7590	Palmitoyl-lipid // CPD-17294 // Oxidized-ferredoxins // WATER // CPD-17292 // CPD-17293 // OXYGEN-MOLECULE // Reduced-ferredoxins // PROTON	ZM00001D028742-MONOMER // ZM00001D047743-MONOMER // ZM00001D007228-MONOMER	ZM00001D028742 // ZM00001D047743 // ZM00001D007228	PUFA-Biosynthesis	OXYGEN-MOLECULE // Reduced-ferredoxins // PROTON // Palmitoyl-lipid	RXN-16049 // RXN-16047 // RXN-16048
PWY-6773	UDP // 1-3-beta-D-Glucans // CPD-12575	ZM00001D042420-MONOMER // MONOMERDQC-43573 // MONOMERDQC-44469 // ZM00001D031352-MONOMER // MONOMERDQC-45861 // ZM00001D027474-MONOMER // ZM00001D045776-MONOMER // ZM00001D028198-MONOMER // ZM00001D027475-MONOMER // ZM00001D014867-MONOMER // MONOMERDQC-47802 // MONOMERDQC-47884 // MONOMERDQC-47929 // MONOMERDQC-49156 // MONOMERDQC-50235 // ZM00001D035842-MONOMER // ZM00001D016157-MONOMER // ZM00001D014865-MONOMER // ZM00001D045037-MONOMER // MONOMERDQC-56307 // ZM00001D024113-MONOMER // ZM00001D041460-MONOMER // ZM00001D030559-MONOMER // MONOMERDQC-58162 // MONOMERDQC-58679 // ZM00001D038152-MONOMER // MONOMERDQC-59692 // MONOMERDQC-59800 // ZM00001D028611-MONOMER // MONOMERDQC-60114 // MONOMERDQC-60980 // MONOMERDQC-61438	ZM00001D042420 // ZM00001D047234 // ZM00001D043428 // ZM00001D031352 // ZM00001D014866 // ZM00001D027474 // ZM00001D045776 // ZM00001D028198 // ZM00001D027475 // ZM00001D014867 // ZM00001D016155 // ZM00001D044566 // ZM00001D018560 // ZM00001D030266 // ZM00001D036351 // ZM00001D035842 // ZM00001D016157 // ZM00001D014865 // ZM00001D045037 // ZM00001D035841 // ZM00001D024113 // ZM00001D041460 // ZM00001D030559 // ZM00001D018565 // ZM00001D044584 // ZM00001D038152 // ZM00001D027392 // ZM00001D016156 // ZM00001D028611 // ZM00001D027472 // ZM00001D043909 // ZM00001D018562	Polysaccharides-Biosynthesis	CPD-12575	13-BETA-GLUCAN-SYNTHASE-RXN
PWY-5791	CHORISMATE // CARBON-DIOXIDE // ISOCHORISMATE // 2-KETOGLUTARATE // Pi // ADP // ATP // O-SUCCINYLBENZOATE // PYRUVATE // CPD-9923 // CPD-9924 // CPD-6972 // CO-A // DIHYDROXYNAPHTHOATE // PROTON // CPD-9925 // WATER	MONOMERDQC-56350 // ZM00001D042596-MONOMER // ZM00001D016212-MONOMER // ZM00001D038025-MONOMER // MONOMERDQC-44369 // ZM00001D043970-MONOMER // ZM00001D021500-MONOMER // ZM00001D024771-MONOMER // ZM00001D016995-MONOMER // ZM00001D024770-MONOMER // ZM00001D016996-MONOMER // ZM00001D031220-MONOMER // ZM00001D013522-MONOMER	ZM00001D020220 // ZM00001D042596 // ZM00001D016212 // ZM00001D038025 // ZM00001D005991 // ZM00001D043970 // ZM00001D021500 // ZM00001D024771 // ZM00001D016995 // ZM00001D024770 // ZM00001D016996 // ZM00001D031220 // ZM00001D013522	DHNA-Biosynthesis	ATP // 2-KETOGLUTARATE // CHORISMATE	RXN-9311 // NAPHTHOATE-SYN-RXN // RXN-9310 // RXN-7614 // O-SUCCINYLBENZOATE-COA-SYN-RXN // 2.5.1.64-RXN // ISOCHORSYN-RXN
PWY-4661	MI-HEXAKISPHOSPHATE // CPD-6681 // CPD-1107 // CPD-178 // D-glucopyranose-6-phosphate // D-MYO-INOSITOL-34-BISPHOSPHATE // ADP // 1-L-MYO-INOSITOL-1-P // PROTON // MYO-INOSITOL // ATP	MONOMERDQC-50989 // MONOMERDQC-51259 // MONOMER-10868 // ZM00001D037822-MONOMER // ZM00001D030083-MONOMER // MONOMERDQC-45250 // ZM00001D045280-MONOMER // ZM00001D016470-MONOMER // ZM00001D015533-MONOMER // ZM00001D030194-MONOMER // ZM00001D025540-MONOMER // ZM00001D023783-MONOMER // ZM00001D033907-MONOMER // ZM00001D050510-MONOMER // MONOMERDQC-60862 // MONOMERDQC-61239 // ZM00001D011441-MONOMER // MONOMER-10801 // MONOMERDQC-43085 // MONOMERDQC-51315 // MONOMERDQC-54049 // MONOMERDQC-54912 // MONOMERDQC-55587 // MONOMERDQC-55969 // MONOMERDQC-57659 // MONOMERDQC-59702 // MONOMER-10821 // MONOMERDQC-47506	ZM00001D026514 // ZM00001D001974 // G-8441 // ZM00001D037822 // ZM00001D030083 // ZM00001D021170 // ZM00001D045280 // ZM00001D016470 // ZM00001D015533 // ZM00001D030194 // ZM00001D025540 // ZM00001D023783 // ZM00001D033907 // ZM00001D050510 // ZM00001D047994 // ZM00001D033853 // ZM00001D011441 // G-8361 // ZM00001D036866 // ZM00001D037652 // ZM00001D023601 // ZM00001D028180 // ZM00001D030506 // ZM00001D045455 // ZM00001D048201 // ZM00001D014292 // G-8381 // ZM00001D033929	Phytate-Biosynthesis	MYO-INOSITOL // ATP // D-glucopyranose-6-phosphate	MYO-INOSITOL-1-KINASE-RXN // RXN-7202 // MYO-INOSITOL-1-PHOSPHATE-SYNTHASE-RXN // 2.7.1.134-RXN // RXN-7203 // RXN-7204 // RXN-7163
PWY-6554	MI-HEXAKISPHOSPHATE // CPD-506 // INOSITOL-1-3-4-TRIPHOSPHATE // ADP // CPD-1107 // PROTON // CPD-505 // ATP	MONOMERDQC-50989 // MONOMERDQC-51259 // ZM00001D037822-MONOMER // ZM00001D030083-MONOMER // MONOMERDQC-45250 // ZM00001D045280-MONOMER // ZM00001D016470-MONOMER // ZM00001D015533-MONOMER // ZM00001D030194-MONOMER // ZM00001D025540-MONOMER // ZM00001D023783-MONOMER // ZM00001D033907-MONOMER // ZM00001D050510-MONOMER // MONOMERDQC-60862 // MONOMERDQC-61239 // ZM00001D011441-MONOMER // ZM00001D038079-MONOMER // ZM00001D008767-MONOMER // ZM00001D033144-MONOMER // ZM00001D014054-MONOMER // ZM00001D002922-MONOMER // ZM00001D016647-MONOMER	ZM00001D026514 // ZM00001D001974 // ZM00001D037822 // ZM00001D030083 // ZM00001D021170 // ZM00001D045280 // ZM00001D016470 // ZM00001D015533 // ZM00001D030194 // ZM00001D025540 // ZM00001D023783 // ZM00001D033907 // ZM00001D050510 // ZM00001D047994 // ZM00001D033853 // ZM00001D011441 // ZM00001D038079 // ZM00001D008767 // ZM00001D033144 // ZM00001D014054 // ZM00001D002922 // ZM00001D016647	Phytate-Biosynthesis	ATP // INOSITOL-1-3-4-TRIPHOSPHATE	2.7.1.140-RXN // 2.7.1.133-RXN // 2.7.1.139-RXN // RXN-7184 // RXN-7163
PWY-5912	PPI // Pi // ATP // MET // WATER // 5-METHYLTHIOADENOSINE // S-ADENOSYLMETHIONINE // GLT // CPD-463 // 2-KETOGLUTARATE // PROTON // NADH-P-OR-NOP // CPD-7228 // CPD-7227 // NAD-P-OR-NOP	ZM00001D024754-MONOMER // ZM00001D008175-MONOMER // MONOMERDQC-48610 // ZM00001D040697-MONOMER // MONOMERDQC-60732 // ZM00001D047651-MONOMER // ZM00001D033496-MONOMER // ZM00001D022557-MONOMER // MONOMERDQC-55830 // ZM00001D047656-MONOMER // ZM00001D047658-MONOMER // ZM00001D012829-MONOMER // ZM00001D028887-MONOMER // ZM00001D013655-MONOMER // ZM00001D028888-MONOMER // ZM00001D007462-MONOMER // MONOMERDQC-45157 // MONOMERDQC-57115 // ZM00001D048736-MONOMER // MONOMERDQC-60607 // MONOMER-13970 // MONOMERDQC-44552 // ZM00001D003524-MONOMER // ZM00001D025057-MONOMER // ZM00001D000060-MONOMER // MONOMERDQC-56955 // ZM00001D025533-MONOMER // ZM00001D005932-MONOMER	ZM00001D024754 // ZM00001D008175 // ZM00001D010920 // ZM00001D040697 // ZM00001D009146 // ZM00001D047651 // ZM00001D033496 // ZM00001D022557 // ZM00001D047639 // ZM00001D047656 // ZM00001D047658 // ZM00001D012829 // ZM00001D028887 // ZM00001D013655 // ZM00001D028888 // ZM00001D007462 // ZM00001D016441 // ZM00001D053281 // ZM00001D048736 // ZM00001D053107 // G-10667 // ZM00001D028360 // ZM00001D003524 // ZM00001D025057 // ZM00001D000060 // ZM00001D025528 // ZM00001D025533 // ZM00001D005932	Siderophores-Biosynthesis	NADH-P-OR-NOP // 2-KETOGLUTARATE // ATP // MET // WATER	1.1.1.285-RXN // 2.6.1.80-RXN // 2.5.1.43-RXN // S-ADENMETSYN-RXN
PWY-5837	PPI // AMP // ATP // O-SUCCINYLBENZOATE // CHORISMATE // CARBON-DIOXIDE // ISOCHORISMATE // 2-KETOGLUTARATE // PYRUVATE // CPD-9923 // CPD-9924 // CPD-6972 // CO-A // DIHYDROXYNAPHTHOATE // PROTON // CPD-9925 // WATER	ZM00001D035200-MONOMER // MONOMERDQC-56350 // ZM00001D042596-MONOMER // ZM00001D016212-MONOMER // ZM00001D038025-MONOMER // MONOMERDQC-44369 // ZM00001D043970-MONOMER // ZM00001D021500-MONOMER // ZM00001D024771-MONOMER // ZM00001D016995-MONOMER // ZM00001D024770-MONOMER // ZM00001D016996-MONOMER // ZM00001D031220-MONOMER // ZM00001D013522-MONOMER	ZM00001D035200 // ZM00001D020220 // ZM00001D042596 // ZM00001D016212 // ZM00001D038025 // ZM00001D005991 // ZM00001D043970 // ZM00001D021500 // ZM00001D024771 // ZM00001D016995 // ZM00001D024770 // ZM00001D016996 // ZM00001D031220 // ZM00001D013522	DHNA-Biosynthesis	2-KETOGLUTARATE // CHORISMATE // ATP	RXN-9311 // NAPHTHOATE-SYN-RXN // RXN-9310 // 2.5.1.64-RXN // ISOCHORSYN-RXN // O-SUCCINYLBENZOATE-COA-SYN-RXN // O-SUCCINYLBENZOATE-COA-LIG-RXN
